Id,Label,track_name,artist,In-Degree,Out-Degree,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,PageRank
710f21dc-4237-4459-90fd-b117a71d347f,,All That She Wants,Ace of Base,3,10,13,9.0,5.180084745762712,1701.5535866910864,0.006211822443165338
bb9401f9-41b1-4a5d-9b8c-b2ae039c09fe,,If You Had My Love,Jennifer Lopez,4,8,12,8.0,4.2076271186440675,2853.8626810287233,0.006363492840395928
60535489-7d75-4686-a578-a42ca0cd1e49,,The Sign,Ace of Base,2,10,12,9.0,5.180084745762712,1725.7645299145286,0.006273052209812938
25fc2052-d6ea-4cca-a018-5172d22edd03,,Only Girl (In the World),Rihanna,5,9,14,8.0,3.961864406779661,2178.681462864905,0.005886969207780524
128fcda8-d61d-4932-be2b-56c8e37b45d4,,Time After Time,Cyndi Lauper,1,10,11,10.0,6.432203389830509,2809.0092614229256,0.007833073391449395
44e38b7b-11b1-4ada-82e2-6583c947aa34,,Murder on the Dancefloor,Sophie Ellis-Bextor,3,10,13,8.0,4.0974576271186445,1338.7703865719855,0.004937203674435384
03659fc1-e2b6-407c-8f90-8854fbfe82c7,,Together Again,Janet Jackson,2,10,12,8.0,4.3326271186440675,5460.628914031415,0.007139784257236952
0c9d85d2-0666-4471-9842-d5a346523f73,,Birthday,Katy Perry,14,8,22,8.0,3.667372881355932,9806.351315472291,0.008381040630455208
3e5da524-7dc7-44b9-abbb-c1a0cad3a496,,Domino,Jessie J,1,10,11,9.0,4.52542372881356,2078.315011541634,0.005295414699065905
1e9fa7a6-e5d8-4df8-be79-c5978d37f55a,,Die Young,Ke$ha,7,10,17,9.0,4.330508474576271,2109.6629402728277,0.006620322153186953
00b0f9ec-6bff-449e-98ea-50ac5129f215,,What You Waiting For?,Gwen Stefani,2,9,11,8.0,3.9915254237288136,1733.0361599517448,0.004751524459169228
3c848550-0f64-4c30-b50a-d750672a2217,,Your Love Is My Drug,Ke$ha,0,9,9,9.0,4.430084745762712,1582.6642233319344,0.0043990100086508735
79ae7638-afcd-4b94-ac52-37eb33aeefc3,,Dancing on My Own,Robyn,1,9,10,8.0,4.413135593220339,1140.8114106372389,0.004588160099574259
feb93955-2724-408c-8444-41f5f20b03ef,,Livin' La Vida Loca,Ricky Martin,1,10,11,8.0,4.245762711864407,4969.17236150155,0.006665159879957312
ba9dbfff-f193-43b8-b1ab-7c5ad426ab14,,It's Raining Men,Geri Halliwell,3,10,13,8.0,3.9597457627118646,4191.41609576292,0.005331119843940466
dc0cce76-0cec-4ffd-b02a-791042c87936,,Cool,Gwen Stefani,1,9,10,8.0,3.9597457627118646,5912.585015249603,0.006020273405064071
10b761bb-340d-4b44-8a53-d8851b28940a,,Starships,Nicki Minaj,3,9,12,9.0,4.686440677966102,415.2928375115629,0.004295677697031316
363eb084-5711-4615-a169-50fc3a80e296,,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,0,10,10,7.0,5.161016949152542,6788.474119038962,0.006097883954570598
2ea5e2c3-b89c-49df-9173-0c4f36141d1a,,Hero,Mariah Carey,0,10,10,8.0,5.033898305084746,3572.2315379169627,0.008295064839041962
2cbac933-ec0d-43ae-b064-956f0ea9978e,,Left Outside Alone,Anastacia,0,9,9,7.0,4.016949152542373,4673.328252489478,0.005391337543151971
e36f49e9-c215-41f3-8579-3f56481d91a6,,She Wolf,Shakira,0,9,9,8.0,3.9470338983050848,1155.490624008096,0.003878074518852775
